model,diameter,height,capacity
SFM70-24,6.11,2.4,53000
SFM70-36,6.11,3.6,87000
SFM70-48,6.11,4.8,125000
SFM70-60,6.11,6.0,163000
SFM70-72,6.11,7.2,201000
SFM70-84,6.11,8.4,231000
SFM90-24,6.88,2.4,68000
SFM90-36,6.88,3.6,114000
SFM90-48,6.88,4.8,159000
SFM90-60,6.88,6.0,204000
SFM90-72,6.88,7.2,250000
SFM90-84,6.88,8.4,291000
SFM110-24,7.64,2.4,83000
SFM110-36,7.64,3.6,136000
SFM110-48,7.64,4.8,197000
SFM110-60,7.64,6.0,254000
SFM110-72,7.64,7.2,310000
SFM110-84,7.64,8.4,360000
SFM135-24,8.40,2.4,98000
SFM135-36,8.40,3.6,167000
SFM135-48,8.40,4.8,235000
SFM135-60,8.40,6.0,303000
SFM135-72,8.40,7.2,371000
SFM135-84,8.40,8.4,432000
SFM160-24,9.17,2.4,114000
SFM160-36,9.17,3.6,197000
SFM160-48,9.17,4.8,280000
SFM160-60,9.17,6.0,360000
SFM160-72,9.17,7.2,443000
SFM160-84,9.17,8.4,515000
SFM185-24,9.93,2.4,132000
SFM185-36,9.93,3.6,227000
SFM185-48,9.93,4.8,326000
SFM185-60,9.93,6.0,420000
SFM185-72,9.93,7.2,515000
SFM185-84,9.93,8.4,602000
