model,diameter,height,capacity
RCT 15,2.950,2.2,15038
RCT 15,2.950,2.9,19842
RCT 15,2.950,3.6,24330

RCT 25,3.884,2.2,26062
RCT 25,3.884,2.9,34355
RCT 25,3.884,3.6,42631
RCT 25,3.884,4.3,50947
RCT 25,3.884,5.0,59240
RCT 25,3.884,5.7,67404

RCT 40,4.855,2.2,40723
RCT 40,4.855,2.9,53680
RCT 40,4.855,3.6,66639
RCT 40,4.855,4.3,79637
RCT 40,4.855,5.0,92601
RCT 40,4.855,5.7,105753
RCT 40,4.855,6.4,118740

RCT 60,5.826,2.2,58640
RCT 60,5.826,2.9,77299
RCT 60,5.826,3.6,95920
RCT 60,5.826,4.3,114615
RCT 60,5.826,5.0,133291
RCT 60,5.826,5.7,152180
RCT 60,5.826,6.4,170869

RCT 80,6.797,2.2,79816
RCT 80,6.797,2.9,105212
RCT 80,6.797,3.6,130597
RCT 80,6.797,4.3,156004
RCT 80,6.797,5.0,181400
RCT 80,6.797,5.7,207033
RCT 80,6.797,6.4,232458

RCT 100,7.768,2.2,104250
RCT 100,7.768,2.9,137420
RCT 100,7.768,3.6,170525
RCT 100,7.768,4.3,203761
RCT 100,7.768,5.0,236931
RCT 100,7.768,5.7,270311
RCT 100,7.768,6.4,303507

RCT 130,8.739,2.2,131941
RCT 130,8.739,2.9,173922
RCT 130,8.739,3.6,215871
RCT 130,8.739,4.3,257884
RCT 130,8.739,5.0,299866
RCT 130,8.739,5.7,342014
RCT 130,8.739,6.4,384016

RCT 160,9.710,2.2,162890
RCT 160,9.710,2.9,214719
RCT 160,9.710,3.6,266466
RCT 160,9.710,4.3,318376
RCT 160,9.710,5.0,370205
RCT 160,9.710,5.7,422143
RCT 160,9.710,6.4,473985

RCT 200,10.681,2.2,197097
RCT 200,10.681,2.9,259810
RCT 200,10.681,3.6,322461
RCT 200,10.681,4.3,385235
RCT 200,10.681,5.0,447948
RCT 200,10.681,5.7,510697
RCT 200,10.681,6.4,573414

RCT 230,11.652,2.2,234562
RCT 230,11.652,2.9,309195
RCT 230,11.652,3.6,383683
RCT 230,11.652,4.3,458461
RCT 230,11.652,5.0,533095
RCT 230,11.652,5.7,607677
RCT 230,11.652,6.4,682304

RCT 275,12.623,2.2,275284
RCT 275,12.623,2.9,362875
RCT 275,12.623,3.6,450366
RCT 275,12.623,4.3,538055
RCT 275,12.623,5.0,625646
RCT 275,12.623,5.7,713082
RCT 275,12.623,6.4,800654

RCT 320,13.594,2.2,319264
RCT 320,13.594,2.9,420849
RCT 320,13.594,3.6,522433
RCT 320,13.594,4.3,624017
RCT 320,13.594,5.0,725601
RCT 320,13.594,5.7,827400
RCT 320,13.594,6.4,929000

RCT 360,14.565,2.2,366503
RCT 360,14.565,2.9,483117
RCT 360,14.565,3.6,599587
RCT 360,14.565,4.3,716346
RCT 360,14.565,5.0,832960
RCT 360,14.565,5.7,950474
RCT 360,14.565,6.4,1067199

RCT 420,15.536,2.2,416998
RCT 420,15.536,2.9,549680
RCT 420,15.536,3.6,682361
RCT 420,15.536,4.3,815042
RCT 420,15.536,5.0,947724
RCT 420,15.536,5.7,1080600
RCT 420,15.536,6.4,1213400

RCT 470,16.507,2.2,470752
RCT 470,16.507,2.9,620537
RCT 470,16.507,3.6,770124
RCT 470,16.507,4.3,920106
RCT 470,16.507,5.0,1069891
RCT 470,16.507,5.7,1220437
RCT 470,16.507,6.4,1370315

RCT 530,17.479,2.2,527764
RCT 530,17.479,2.9,695688
RCT 530,17.479,3.6,863613
RCT 530,17.479,4.3,1031538
RCT 530,17.479,5.0,1199463
RCT 530,17.479,5.7,1367900
RCT 530,17.479,6.4,1535887

RCT 590,18.450,2.2,588033
RCT 590,18.450,2.9,775134
RCT 590,18.450,3.6,962236
RCT 590,18.450,4.3,1149337
RCT 590,18.450,5.0,1336438
RCT 590,18.450,5.7,1524101
RCT 590,18.450,6.4,1711271

RCT 650,19.421,2.2,651560
RCT 650,19.421,2.9,858875
RCT 650,19.421,3.6,1066189
RCT 650,19.421,4.3,1273504
RCT 650,19.421,5.0,1480818
RCT 650,19.421,5.7,1688746
RCT 650,19.421,6.4,1896135

RCT 720,20.392,2.2,718345
RCT 720,20.392,2.9,946909
RCT 720,20.392,3.6,1175473
RCT 720,20.392,4.3,1404038
RCT 720,20.392,5.0,1632602
RCT 720,20.392,5.7,1861833
RCT 720,20.392,6.4,2090479

RCT 790,21.681,2.2,812250
RCT 790,21.681,2.9,1070690
RCT 790,21.681,3.6,1329130
RCT 790,21.681,4.3,1587571
