model,diameter,height,capacity
SST 25,3.82,2.48,28
SST 25,3.82,3.66,42
SST 25,3.82,4.85,56
SST 25,3.82,6.03,69
SST 25,3.82,7.22,83
SST 40,4.59,2.48,41
SST 40,4.59,3.66,61
SST 40,4.59,4.85,80
SST 40,4.59,6.03,100
SST 40,4.59,7.22,119
SST 50,5.35,2.48,56
SST 50,5.35,3.66,82
SST 50,5.35,4.85,109
SST 50,5.35,6.03,136
SST 50,5.35,7.22,162
SST 50,5.35,8.41,189
SST 70,6.11,2.48,73
SST 70,6.11,3.66,107
SST 70,6.11,4.85,142
SST 70,6.11,6.03,177
SST 70,6.11,7.22,212
SST 70,6.11,8.41,246
SST 70,6.11,9.59,281
SST 85,6.88,2.48,92
SST 85,6.88,3.66,136
SST 85,6.88,4.85,180
SST 85,6.88,6.03,224
SST 85,6.88,7.22,268
SST 85,6.88,8.41,312
SST 85,6.88,9.59,356
SST 85,6.88,10.76,400
SST 105,7.64,2.48,114
SST 105,7.64,3.66,168
SST 105,7.64,4.85,222
SST 105,7.64,6.03,277
SST 105,7.64,7.22,331
SST 105,7.64,8.41,385
SST 105,7.64,9.59,440
SST 105,7.64,10.76,494
SST 130,8.40,2.48,137
SST 130,8.40,3.66,203
SST 130,8.40,4.85,269
SST 130,8.40,6.03,334
SST 130,8.40,7.22,400
SST 130,8.40,8.41,466
SST 130,8.40,9.59,531
SST 130,8.40,10.76,597
SST 155,9.17,2.48,164
SST 155,9.17,3.66,242
SST 155,9.17,4.85,320
SST 155,9.17,6.03,398
SST 155,9.17,7.22,477
SST 155,9.17,8.41,555
SST 155,9.17,9.59,633
SST 155,9.17,10.76,711
SST 180,9.93,2.48,192
SST 180,9.93,3.66,284
SST 180,9.93,4.85,376
SST 180,9.93,6.03,467
SST 180,9.93,7.22,559
SST 180,9.93,8.41,651
SST 180,9.93,9.59,743
SST 180,9.93,10.76,834
SST 210,10.70,2.48,223
SST 210,10.70,3.66,329
SST 210,10.70,4.85,436
SST 210,10.70,6.03,543
SST 210,10.70,7.22,649
SST 210,10.70,8.41,756
SST 210,10.70,9.59,862
SST 210,10.70,10.76,969
SST 240,11.46,2.48,256
SST 240,11.46,3.66,378
SST 240,11.46,4.85,500
SST 240,11.46,6.03,622
SST 240,11.46,7.22,745
SST 240,11.46,8.41,867
SST 240,11.46,9.59,989
SST 240,11.46,10.76,1111
SST 275,12.22,2.48,291
SST 275,12.22,3.66,430
SST 275,12.22,4.85,569
SST 275,12.22,6.03,708
SST 275,12.22,7.22,847
