id,tank_model,diameter,height,net_capacity,gross_capacity,ideal_price,nrp
1,RCT10-10,2.8,0.8,5,5,100000,100000
2,RCT10-14,2.8,1.4,8,8,100001,100001
3,RCT10-20,2.8,2,10,10,100002,100002
4,RCT15-14,3,1.4,15,15,100003,100003
5,RCT15-22,3,2.2,15,15,100004,100004
6,RCT15-29,3,2.9,20,20,100005,100005
7,RCT15-36,3,3.6,24,24,100006,100006
8,RCT15-43,3,4.3,29,29,100007,100007
9,RCT25-22,3.9,2.2,26,26,100008,100008
10,RCT25-29,3.9,2.9,34,34,100009,100009
11,RCT25-36,3.9,3.6,43,43,100010,100010
12,RCT25-43,3.9,4.3,51,51,100011,100011
13,RCT25-50,3.9,5,59,59,100012,100012
14,RCT25-57,3.9,5.7,67,67,100013,100013
15,RCT25-64,3.9,6.4,67,67,100014,100014
16,RCT40-22,4.9,2.2,41,41,100015,100015
17,RCT40-29,4.9,2.9,54,54,100016,100016
18,RCT40-36,4.9,3.6,67,67,100017,100017
19,RCT40-43,4.9,4.3,80,80,100018,100018
20,RCT40-50,4.9,5,93,93,100019,100019
21,RCT40-57,4.9,5.7,106,106,100020,100020
22,RCT40-64,4.9,6.4,119,119,100021,100021
23,RCT60-22,5.8,2.2,60,60,100022,100022
24,RCT60-29,5.8,2.9,77,77,100023,100023
25,RCT60-36,5.8,3.6,96,96,100024,100024
26,RCT60-43,5.8,4.3,115,115,100025,100025
27,RCT60-50,5.8,5,133,133,100026,100026
28,RCT60-57,5.8,5.7,152,152,100027,100027
29,RCT60-64,5.8,6.4,171,171,100028,100028
30,RCT60-71,5.8,7.1,171,171,100029,100029
31,RCT60-78,5.8,7.8,208,208,100030,100030
32,RCT60-85,5.8,8.5,208,208,100031,100031
33,RCT80-22,6.8,2.2,80,80,100032,100032
34,RCT80-29,6.8,2.9,105,105,100033,100033
35,RCT80-36,6.8,3.6,131,131,100034,100034
36,RCT80-43,6.8,4.3,156,156,100035,100035
37,RCT80-50,6.8,5,181,181,100036,100036
38,RCT80-57,6.8,5.7,207,207,100037,100037
39,RCT80-64,6.8,6.4,232,232,100038,100038
40,RCT80-71,6.8,7.1,232,232,100039,100039
41,RCT80-78,6.8,7.8,232,232,100040,100040
42,RCT80-85,6.8,8.5,232,232,100041,100041
43,RCT100-22,7.8,2.2,104,104,100042,100042
44,RCT100-29,7.8,2.9,137,137,100043,100043
45,RCT100-36,7.8,3.6,171,171,100044,100044
46,RCT100-43,7.8,4.3,204,204,100045,100045
47,RCT100-50,7.8,5,237,237,100046,100046
48,RCT100-57,7.8,5.7,270,270,100047,100047
